extraction_ID,lat,lon,Year,Month,Day,Transect,StationKM,DepthM,SampleNumber,SampleType,Sampler1,Sampler2,Notes,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e02693,53.994463333333336,-167.7498572222222,2023,8,10,east,20.0,15,96,eDNA,T. Zeppelin,C. Kuhn,22:38 drop daylight,water,2023,8,10,Bogoslof,east,20,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/1/2023,vial,30_2023,B1,NA,NA,NA
e02694,53.994463333333336,-167.7498572222222,2023,8,10,east,20.0,15,97,eDNA,T. Zeppelin,C. Kuhn,22:38 drop daylight,water,2023,8,10,Bogoslof,east,20,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/1/2023,vial,30_2023,C1,NA,NA,NA
e02695,NA,NA,2023,8,11,east,NA,15,98,FieldBlank,T. Zeppelin,C. Kuhn,NA,water,2023,8,11,Bogoslof,east,NA,NA,NA,field_blank,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,D1,NA,NA,NA
e02696,54.02442638888889,-167.6062275,2023,8,11,east,30.0,15,99,eDNA,T. Zeppelin,C. Kuhn,2330 PM,water,2023,8,11,Bogoslof,east,30,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,E1,NA,NA,NA
e02697,54.02442638888889,-167.6062275,2023,8,11,east,30.0,15,100,eDNA,T. Zeppelin,C. Kuhn,2330 PM,water,2023,8,11,Bogoslof,east,30,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,F1,NA,NA,NA
e02698,54.02442638888889,-167.6062275,2023,8,11,east,30.0,15,101,eDNA,T. Zeppelin,C. Kuhn,2330 PM,water,2023,8,11,Bogoslof,east,30,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,G1,NA,NA,NA
e02699,54.054203055555554,-167.46238277777778,2023,8,11,east,40.0,15,102,eDNA,T. Zeppelin,C. Kuhn,1215 AM,water,2023,8,11,Bogoslof,east,40,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,H1,NA,NA,NA
e02700,54.054203055555554,-167.46238277777778,2023,8,11,east,40.0,15,103,eDNA,T. Zeppelin,C. Kuhn,1215 AM,water,2023,8,11,Bogoslof,east,40,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,A2,NA,NA,NA
e02701,54.054203055555554,-167.46238277777778,2023,8,11,east,40.0,15,104,eDNA,T. Zeppelin,C. Kuhn,1215 AM,water,2023,8,11,Bogoslof,east,40,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,B2,NA,NA,NA
e02702,NA,NA,2023,8,11,east,NA,15,105,FieldBlank,T. Zeppelin,C. Kuhn,1215 AM,water,2023,8,11,Bogoslof,east,NA,NA,NA,field_blank,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,C2,NA,NA,NA
e02703,54.08379416666667,-167.31832166666666,2023,8,11,east,50.0,15,106,eDNA,T. Zeppelin,C. Kuhn,0105 AM,water,2023,8,11,Bogoslof,east,50,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,D2,NA,NA,NA
e02704,54.08379416666667,-167.31832166666666,2023,8,11,east,50.0,15,107,eDNA,T. Zeppelin,C. Kuhn,0105 AM,water,2023,8,11,Bogoslof,east,50,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,E2,NA,NA,NA
e02705,54.08379416666667,-167.31832166666666,2023,8,11,east,50.0,15,108,eDNA,T. Zeppelin,C. Kuhn,0105 AM,water,2023,8,11,Bogoslof,east,50,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,F2,NA,NA,NA
e02706,54.11319888888889,-167.17404416666665,2023,8,11,east,60.0,15,109,eDNA,T. Zeppelin,C. Kuhn,0155 AM,water,2023,8,11,Bogoslof,east,60,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,G2,NA,NA,NA
e02707,54.11319888888889,-167.17404416666665,2023,8,11,east,60.0,15,110,eDNA,T. Zeppelin,C. Kuhn,0155 AM,water,2023,8,11,Bogoslof,east,60,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,H2,NA,NA,NA
e02708,54.11319888888889,-167.17404416666665,2023,8,11,east,60.0,15,111,eDNA,T. Zeppelin,C. Kuhn,0155 AM,water,2023,8,11,Bogoslof,east,60,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,A3,NA,NA,NA
e02709,NA,NA,2023,8,11,east,NA,15,112,FieldBlank,T. Zeppelin,C. Kuhn,0155 AM,water,2023,8,11,Bogoslof,east,NA,NA,NA,field_blank,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,B3,NA,NA,NA
e02710,54.14241722222222,-167.02955083333336,2023,8,11,east,70.0,15,113,eDNA,T. Zeppelin,C. Kuhn,0244 AM,water,2023,8,11,Bogoslof,east,70,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,C3,NA,NA,NA
e02711,54.14241722222222,-167.02955083333336,2023,8,11,east,70.0,15,114,eDNA,T. Zeppelin,C. Kuhn,0244 AM,water,2023,8,11,Bogoslof,east,70,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,D3,NA,NA,NA
e02712,54.14241722222222,-167.02955083333336,2023,8,11,east,70.0,15,115,eDNA,T. Zeppelin,C. Kuhn,0244 AM,water,2023,8,11,Bogoslof,east,70,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,E3,NA,NA,NA
e02713,54.17144888888889,-166.8848422222222,2023,8,11,east,80.0,15,116,eDNA,T. Zeppelin,C. Kuhn,0325 AM,water,2023,8,11,Bogoslof,east,80,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,F3,NA,NA,NA
e02714,54.17144888888889,-166.8848422222222,2023,8,11,east,80.0,15,117,eDNA,T. Zeppelin,C. Kuhn,0325 AM,water,2023,8,11,Bogoslof,east,80,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,G3,NA,NA,NA
e02715,54.17144888888889,-166.8848422222222,2023,8,11,east,80.0,15,118,eDNA,T. Zeppelin,C. Kuhn,0325 AM,water,2023,8,11,Bogoslof,east,80,NA,NA,sample,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,H3,NA,NA,NA
e02716,NA,NA,2023,8,11,east,NA,15,119,FieldBlank,T. Zeppelin,C. Kuhn,0325 AM,water,2023,8,11,Bogoslof,east,NA,NA,NA,field_blank,15,NA,Bogo fur seal eDNA,T. Zeppelin,JLM,12/4/2023,vial,30_2023,A4,NA,NA,NA
